timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff,energy
130.007,-0.002101,-0.050432,-0.017416,-0.031471,idle,4,0.020000000000010232,0.06936874817572494
130.027,-0.032132,-0.014985,-0.032801,-0.028174,idle,4,0.01999999999998181,0.06728545536997668
130.047,-0.040847,-0.052642,-0.054558,-0.033067,idle,4,0.020000000000010232,0.06582885963695169
130.067,-0.022074,-0.122238,-0.009129,-0.050901,idle,4,0.020000000000010232,0.06451927784777162
130.087,-0.000555,-0.203977,0.004561,-0.081517,idle,4,0.01999999999998181,0.06393602727340453
130.107,-0.010802,-0.217374,0.066443,-0.108688,idle,4,0.020000000000010232,0.06428638681576321
130.126,0.00934,-0.239317,0.053183,-0.134814,idle,4,0.019000000000005457,0.06508031919043858
130.146,0.018538,-0.167375,0.089905,-0.141326,idle,4,0.01999999999998181,0.06594869519135306
130.166,0.029818,-0.031476,0.041788,-0.119356,idle,4,0.020000000000010232,0.06638818491932734
130.186,0.055348,0.17679,-0.012005,-0.060127,idle,4,0.020000000000010232,0.06641370215293119
130.206,0.05074,0.256449,-0.057527,0.003188,idle,4,0.01999999999998181,0.06635121138829735
130.226,0.049307,0.36603,-0.13479,0.075757,idle,4,0.020000000000010232,0.06659690839234095
130.246,0.091263,0.247021,-0.047138,0.11001,idle,4,0.020000000000010232,0.06736559281158398
130.266,0.248101,0.066916,0.090117,0.101391,idle,4,0.01999999999998181,0.06821846706069541
130.285,0.342778,0.044259,0.108639,0.089965,idle,4,0.019000000000005457,0.06886637232089457
130.305,0.291404,-0.062802,0.180882,0.059411,idle,4,0.020000000000010232,0.068996493132008
130.325,0.265531,0.059396,0.167423,0.059408,idle,4,0.01999999999998181,0.06951755388570931
130.345,0.291863,0.207673,0.123596,0.089061,idle,4,0.020000000000010232,0.07025606164615159
130.365,0.302244,0.304617,0.126172,0.132172,idle,4,0.020000000000010232,0.07197215943369467
130.385,0.324211,0.179842,0.126005,0.141706,idle,4,0.01999999999998181,0.07363886659920718
130.405,0.336405,0.25062,0.088247,0.163489,idle,4,0.020000000000010232,0.07510414530100194
130.424,0.39595,0.231163,-0.099069,0.177024,idle,4,0.019000000000005457,0.07651615983582942
130.444,0.413223,0.240787,-0.073046,0.189776,idle,4,0.01999999999998181,0.07887898489925271
130.464,0.438124,0.203586,-0.070526,0.192538,idle,4,0.020000000000010232,0.08090154205688722
130.484,0.436838,0.16851,-0.061065,0.187733,idle,4,0.020000000000010232,0.08193519878524581
130.504,0.426677,0.108838,-0.117275,0.171954,idle,4,0.01999999999998181,0.08250694639720699
130.524,0.378785,0.153577,-0.183973,0.168278,idle,4,0.020000000000010232,0.08352862671005823
130.543,0.331675,0.204774,-0.2289,0.175578,idle,4,0.019000000000005457,0.08490254087004384
130.563,0.271908,0.224556,-0.142318,0.185373,idle,4,0.01999999999998181,0.08664535042983121
130.583,0.264966,0.200988,-0.169891,0.188496,idle,4,0.020000000000010232,0.08851319852544717
130.604,0.247595,0.180334,-0.167277,0.186864,idle,4,0.021000000000015007,0.09031728225188207
130.623,0.21441,0.047132,-0.236282,0.158917,idle,4,0.018999999999977035,0.09146836741932556
130.643,0.129557,-0.079518,-0.104025,0.11123,idle,4,0.020000000000010232,0.09196952412437617
130.663,0.073827,-0.063479,0.170274,0.076289,idle,4,0.020000000000010232,0.09220181740153843
130.683,-0.00412,0.010984,0.046071,0.063228,idle,4,0.01999999999998181,0.09233105037551631
130.703,-0.084121,0.177595,-0.002582,0.086101,idle,4,0.020000000000010232,0.0926220187579495
130.723,-0.171501,0.245677,-0.018721,0.118016,idle,4,0.020000000000010232,0.09321277456513824
130.742,-0.247131,0.169071,0.013236,0.128227,idle,4,0.018999999999977035,0.09386019040752601
130.762,-0.25391,0.076199,0.052443,0.117822,idle,4,0.020000000000010232,0.09413215357837457
130.782,-0.255166,0.031478,0.049815,0.100553,idle,4,0.020000000000010232,0.09398827985779042
130.802,-0.26414,0.017382,0.008489,0.083919,idle,4,0.01999999999998181,0.09368406956448681
130.822,-0.279587,0.003449,-0.032525,0.067825,idle,4,0.020000000000010232,0.09326668203419235
130.842,-0.293818,-0.013532,-0.055316,0.051553,idle,4,0.020000000000010232,0.09269709999898752
130.861,-0.317277,-0.011541,-0.07487,0.038934,idle,4,0.018999999999977035,0.09189940177733635
130.882,-0.334636,0.026225,-0.099577,0.036393,idle,4,0.021000000000015007,0.09102996241469828
130.901,-0.348959,0.055272,-0.095245,0.040168,idle,4,0.019000000000005457,0.09011431770481151
130.921,-0.357168,0.072203,-0.062295,0.046575,idle,4,0.01999999999998181,0.08914444415970689
130.941,-0.359546,0.106885,-0.083192,0.058637,idle,4,0.020000000000010232,0.08807974250614872
130.961,-0.343247,0.14307,-0.097929,0.075524,idle,4,0.020000000000010232,0.08691892645393762
130.981,-0.338942,0.137032,-0.039807,0.087825,idle,4,0.01999999999998181,0.0858460547164767
