timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff
0.005,-0.010743,0.036313,-0.032157,0.007263,idle,0,-178.985
0.025,-0.007909,-0.039072,-0.006543,-0.002004,idle,0,0.02
0.045,-0.028552,-0.046338,0.000516,-0.010871,idle,0,0.019999999999999997
0.065,-0.007141,-0.023308,0.017085,-0.013358,idle,0,0.020000000000000004
0.084,-0.019516,-0.049569,0.016891,-0.020601,idle,0,0.019000000000000003
0.104,-0.013716,-0.033981,0.002519,-0.023277,idle,0,0.01999999999999999
0.124,-0.00164,0.003334,-0.012178,-0.017954,idle,0,0.020000000000000004
0.144,0.001735,0.006811,0.002145,-0.013001,idle,0,0.01999999999999999
0.164,-0.00545,-0.007323,0.012751,-0.011866,idle,0,0.020000000000000018
0.184,-0.01391,-0.008408,0.005325,-0.011174,idle,0,0.01999999999999999
0.204,-0.007855,0.014879,-0.000204,-0.005964,idle,0,0.01999999999999999
0.224,-0.004282,0.032517,0.013219,0.001733,idle,0,0.020000000000000018
0.245,-0.008633,-0.003132,0.031954,0.00076,idle,0,0.02099999999999999
0.264,-0.01588,-0.020278,0.025826,-0.003448,idle,0,0.019000000000000017
0.285,-0.002023,-0.010024,0.013389,-0.004763,idle,0,0.020999999999999963
0.303,0.002567,0.008556,0.003053,-0.002099,idle,0,0.018000000000000016
0.323,0.009013,0.006411,0.005485,-0.000397,idle,0,0.020000000000000018
0.343,0.013,0.006979,-0.003692,0.001078,idle,0,0.020000000000000018
0.363,0.010632,0.001018,-0.010185,0.001066,idle,0,0.019999999999999962
0.383,0.001009,0.009937,-0.00074,0.00284,idle,0,0.020000000000000018
0.403,0.0029,0.027968,-0.003172,0.007866,idle,0,0.020000000000000018
0.429,-0.007602,0.031752,-0.001249,0.012643,idle,0,0.025999999999999968
0.442,0.0047,0.01429,-0.013177,0.012972,idle,0,0.013000000000000012
0.462,0.02714,-0.018287,-0.013239,0.00672,idle,0,0.020000000000000018
0.482,0.033379,-0.032605,-0.007439,-0.001145,idle,0,0.019999999999999962
0.502,0.034331,-0.017582,-0.004748,-0.004432,idle,0,0.020000000000000018
0.522,0.032759,-0.01495,0.02355,-0.006536,idle,0,0.020000000000000018
0.542,0.023424,-0.021213,0.056771,-0.009471,idle,0,0.020000000000000018
0.562,0.014361,-0.023591,0.068416,-0.012295,idle,0,0.020000000000000018
0.581,0.005815,-0.016656,0.065168,-0.013167,idle,0,0.018999999999999906
0.601,-0.004525,-0.0034,0.06003,-0.011214,idle,0,0.020000000000000018
0.621,-0.007546,-0.016017,0.043861,-0.012175,idle,0,0.020000000000000018
0.641,0.016198,-0.042365,0.026973,-0.018213,idle,0,0.020000000000000018
0.661,0.001404,-0.047295,0.010462,-0.024029,idle,0,0.020000000000000018
0.681,0.008968,-0.047497,-0.013745,-0.028723,idle,0,0.020000000000000018
0.701,0.011028,-0.029863,-0.025654,-0.028951,idle,0,0.019999999999999907
0.721,0.012769,-0.012584,-0.018702,-0.025677,idle,0,0.020000000000000018
0.74,0.009281,-0.004073,-0.002692,-0.021357,idle,0,0.019000000000000017
0.76,-0.006427,-0.031794,0.021141,-0.023444,idle,0,0.020000000000000018
0.78,-0.021919,0.004111,0.024879,-0.017933,idle,0,0.020000000000000018
0.8,-0.024917,0.03217,0.025718,-0.007912,idle,0,0.020000000000000018
0.82,-0.023859,0.015322,0.036482,-0.003266,idle,0,0.019999999999999907
0.84,-0.010131,-0.01028,0.034041,-0.004668,idle,0,0.020000000000000018
0.86,-0.012355,-0.0253,0.010498,-0.008795,idle,0,0.020000000000000018
0.88,-0.011171,0.013867,-0.004345,-0.004262,idle,0,0.020000000000000018
0.899,-0.010594,0.046799,-0.010062,0.00595,idle,0,0.019000000000000017
0.92,-0.012876,0.008969,-0.009157,0.006554,idle,0,0.02100000000000002
0.939,-0.007148,-0.034917,-0.012083,-0.00174,idle,0,0.018999999999999906
0.959,-0.003148,-0.030791,-0.028724,-0.007551,idle,0,0.020000000000000018
0.979,0.000787,0.014971,-0.034725,-0.003046,idle,0,0.020000000000000018
0.999,0.015799,0.028096,-0.015987,0.003182,idle,0,0.020000000000000018
1.019,0.010402,0.00083,-0.009951,0.002712,idle,0,0.019999999999999907
1.039,0.027666,-0.020455,-0.009848,-0.001922,idle,0,0.020000000000000018
1.059,0.026203,-0.025034,0.000774,-0.006544,idle,0,0.020000000000000018
1.078,0.016086,0.013045,0.006079,-0.002626,idle,0,0.019000000000000128
1.099,0.021507,0.054989,0.008683,0.008897,idle,0,0.020999999999999908
1.118,0.023119,0.009572,0.004316,0.009032,idle,0,0.019000000000000128
1.138,0.004512,-0.032868,0.010596,0.000652,idle,0,0.019999999999999796
1.158,-0.008005,-0.036819,0.021554,-0.006842,idle,0,0.020000000000000018
1.178,-0.009105,-0.022625,0.030022,-0.009999,idle,0,0.020000000000000018
1.198,0.001597,-0.002889,0.022349,-0.008577,idle,0,0.020000000000000018
1.218,0.002409,-0.000853,0.021208,-0.007032,idle,0,0.020000000000000018
1.237,-0.001348,-0.004163,0.027805,-0.006458,idle,0,0.019000000000000128
1.257,0.021785,-0.017325,0.019568,-0.008631,idle,0,0.019999999999999796
1.277,0.041348,-0.012706,0.013458,-0.009446,idle,0,0.020000000000000018
1.297,0.057989,0.001024,0.007312,-0.007352,idle,0,0.020000000000000018
1.317,0.06958,0.009762,-0.005669,-0.003929,idle,0,0.020000000000000018
1.337,0.056155,0.000657,-0.024166,-0.003012,idle,0,0.020000000000000018
1.357,0.020629,-0.015191,-0.027878,-0.005448,idle,0,0.020000000000000018
1.376,0.006491,-0.020827,0.014635,-0.008524,idle,0,0.018999999999999906
1.396,0.010591,0.022711,0.051819,-0.002277,idle,0,0.020000000000000018
1.416,0.036159,0.045403,0.043716,0.007259,idle,0,0.020000000000000018
1.436,0.035958,0.008323,-0.016465,0.007472,idle,0,0.020000000000000018
