timestamp,accX,accY,accZ,filteredAccY,phase,repCount
14.316,0.002329,-0.011257,-0.022538,0.004224,bottom,0
14.336,0.004572,-0.014090,-0.018120,0.000561,bottom,0
14.356,0.007519,-0.019804,-0.006423,-0.003512,bottom,0
14.376,0.013371,-0.018840,-0.005757,-0.006578,bottom,0
14.396,0.011405,-0.016268,-0.003053,-0.008516,bottom,0
14.415,-0.003148,-0.002022,0.004240,-0.007217,bottom,0
14.435,-0.012214,-0.014495,0.002355,-0.008673,bottom,0
14.455,-0.008786,-0.004326,0.003922,-0.007803,bottom,0
14.475,-0.010121,0.004041,-0.010149,-0.005434,bottom,0
14.496,-0.002316,-0.005239,-0.020458,-0.005395,bottom,0
14.515,0.001831,0.005758,-0.019697,-0.003165,bottom,0
14.534,-0.003681,0.015802,-0.028560,0.000629,bottom,0
14.554,-0.002632,-0.000035,-0.011161,0.000496,bottom,0
14.574,0.004126,0.003846,-0.010396,0.001166,bottom,0
14.595,0.003219,0.005727,-0.015091,0.002078,bottom,0
14.614,0.006477,0.005641,0.002819,0.002791,bottom,0
14.634,0.001331,-0.015110,0.015914,-0.000789,bottom,0
14.654,0.004320,0.004632,0.006609,0.000295,bottom,0
14.674,0.008731,0.019921,-0.005064,0.004220,bottom,0
14.694,0.005789,0.011026,0.000306,0.005581,bottom,0
14.713,0.003105,0.012197,0.010506,0.006904,bottom,0
14.733,0.001261,0.004486,0.000352,0.006421,bottom,0
14.753,-0.005480,0.000099,-0.007430,0.005156,bottom,0
14.773,-0.010084,0.022861,-0.007717,0.008697,bottom,0
14.793,-0.002666,0.013937,-0.008330,0.009745,bottom,0
14.813,0.002838,0.006982,0.004732,0.009193,bottom,0
14.833,-0.002075,0.011335,0.007758,0.009621,bottom,0
14.852,0.002150,0.000034,0.004916,0.007704,bottom,0
14.872,0.003146,-0.009431,-0.002514,0.004277,bottom,0
14.892,-0.002212,0.005144,-0.004297,0.004450,bottom,0
14.912,-0.000521,-0.009683,-0.002153,0.001624,bottom,0
14.932,0.008922,-0.026502,-0.006135,-0.004002,bottom,0
14.952,0.013675,-0.013581,-0.013265,-0.005917,bottom,0
14.972,0.012188,-0.006944,-0.012098,-0.006123,bottom,0
14.992,0.010518,-0.005841,-0.005569,-0.006066,bottom,0
15.011,0.003619,-0.009203,0.004210,-0.006694,bottom,0
15.031,-0.002797,-0.003712,0.000111,-0.006098,bottom,0
15.051,-0.006121,0.015488,-0.006037,-0.001780,bottom,0
15.071,-0.002596,0.011429,-0.010856,0.000862,bottom,0
15.091,0.006780,0.005136,0.000490,0.001717,bottom,0
15.111,0.000935,0.009189,0.003076,0.003211,bottom,0
15.131,-0.004120,-0.009012,0.008177,0.000766,bottom,0
15.150,-0.002866,-0.001601,-0.001522,0.000293,bottom,0
15.170,-0.005689,0.008369,-0.007073,0.001908,bottom,0
15.191,0.000657,0.001019,0.003889,0.001730,bottom,0
15.210,0.007352,-0.004618,0.005385,0.000461,bottom,0
15.230,-0.000512,-0.001474,-0.012480,0.000074,bottom,0
15.250,0.004521,0.008918,-0.019171,0.001843,bottom,0
15.270,0.005900,0.001324,0.005906,0.001739,bottom,0
15.290,-0.000219,-0.010053,-0.009444,-0.000619,bottom,0
15.309,0.006026,0.005389,-0.005086,0.000582,bottom,0
15.329,-0.001729,-0.000143,0.001357,0.000437,bottom,0
15.349,-0.002327,0.000230,-0.006443,0.000396,bottom,0
15.369,0.001341,0.010301,0.006857,0.002377,bottom,0
15.389,-0.004791,0.004415,0.014934,0.002785,bottom,0
15.409,-0.005271,0.000292,-0.003726,0.002286,bottom,0
15.429,-0.008242,0.011083,-0.017896,0.004045,bottom,0
15.448,-0.009547,0.019225,0.005893,0.007081,bottom,0
15.468,-0.001095,-0.005438,0.015268,0.004577,bottom,0
15.488,0.001898,-0.002470,0.008348,0.003168,bottom,0
15.508,-0.003812,0.008338,-0.009633,0.004202,bottom,0
15.528,-0.003543,0.003626,-0.013591,0.004087,bottom,0
15.548,0.001074,0.003441,-0.014027,0.003958,bottom,0
15.568,-0.004822,0.011068,-0.006961,0.005380,bottom,0
15.588,0.005919,0.001226,-0.001385,0.004549,bottom,0
15.608,0.001052,-0.000878,-0.003686,0.003463,bottom,0
15.628,0.003501,0.002458,-0.005845,0.003262,bottom,0
15.647,0.009119,-0.004189,-0.006278,0.001772,bottom,0
15.667,0.000762,0.005656,-0.002731,0.002549,bottom,0
15.687,-0.008174,0.010664,0.006220,0.004172,bottom,0
15.707,-0.003644,0.009483,0.008963,0.005234,bottom,0
15.727,-0.003304,0.003898,0.001083,0.004967,bottom,0
15.747,-0.005509,0.009736,-0.006535,0.005921,bottom,0
